# SPDX-FileCopyrightText: 2026 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC-BY-4.0
#
# Per-(source, country, food_group) basis overrides for the diet
# pipeline. Resolved by diet.basis.resolve_source_basis BEFORE the
# per-source global declaration in config.diet.source_basis.
#
# Use cases: when a country's underlying survey methodology records a
# food group in a basis different from the source's global default. The
# bulk of entries below correct GDD's "grain/whole_grains/legumes ==
# cooked" global declaration for ~65 countries whose dietary surveys
# are household-acquisition-based (NSS in India, HIES in
# Bangladesh/Pakistan, LSMS in much of sub-Saharan Africa, ENSANUT in
# Mexico, SUSENAS in Indonesia, HCES in Ethiopia) and therefore
# already record raw cereal mass. The "region" and "note" columns are
# documentation only — the lookup uses (source, country, food_group).

source,country,food_group,basis,region,note
# South Asia (NSS / HIES record raw cereal weight)
gdd,IND,grain,dry,South Asia,NSS
gdd,IND,whole_grains,dry,South Asia,NSS
gdd,IND,legumes,dry,South Asia,NSS
gdd,BGD,grain,dry,South Asia,HIES
gdd,BGD,whole_grains,dry,South Asia,HIES
gdd,BGD,legumes,dry,South Asia,HIES
gdd,PAK,grain,dry,South Asia,HIES
gdd,PAK,whole_grains,dry,South Asia,HIES
gdd,PAK,legumes,dry,South Asia,HIES
gdd,NPL,grain,dry,South Asia,
gdd,NPL,whole_grains,dry,South Asia,
gdd,NPL,legumes,dry,South Asia,
gdd,LKA,grain,dry,South Asia,
gdd,LKA,whole_grains,dry,South Asia,
gdd,LKA,legumes,dry,South Asia,
gdd,AFG,grain,dry,South Asia,
gdd,AFG,whole_grains,dry,South Asia,
gdd,AFG,legumes,dry,South Asia,
# Sub-Saharan Africa (LSMS / national HCES record raw weight)
gdd,ETH,grain,dry,Sub-Saharan Africa,HCES
gdd,ETH,whole_grains,dry,Sub-Saharan Africa,HCES
gdd,ETH,legumes,dry,Sub-Saharan Africa,HCES
gdd,NGA,grain,dry,Sub-Saharan Africa,LSMS
gdd,NGA,whole_grains,dry,Sub-Saharan Africa,LSMS
gdd,NGA,legumes,dry,Sub-Saharan Africa,LSMS
gdd,KEN,grain,dry,Sub-Saharan Africa,
gdd,KEN,whole_grains,dry,Sub-Saharan Africa,
gdd,KEN,legumes,dry,Sub-Saharan Africa,
gdd,UGA,grain,dry,Sub-Saharan Africa,
gdd,UGA,whole_grains,dry,Sub-Saharan Africa,
gdd,UGA,legumes,dry,Sub-Saharan Africa,
gdd,TZA,grain,dry,Sub-Saharan Africa,
gdd,TZA,whole_grains,dry,Sub-Saharan Africa,
gdd,TZA,legumes,dry,Sub-Saharan Africa,
gdd,COD,grain,dry,Sub-Saharan Africa,
gdd,COD,whole_grains,dry,Sub-Saharan Africa,
gdd,COD,legumes,dry,Sub-Saharan Africa,
gdd,GHA,grain,dry,Sub-Saharan Africa,
gdd,GHA,whole_grains,dry,Sub-Saharan Africa,
gdd,GHA,legumes,dry,Sub-Saharan Africa,
gdd,MWI,grain,dry,Sub-Saharan Africa,
gdd,MWI,whole_grains,dry,Sub-Saharan Africa,
gdd,MWI,legumes,dry,Sub-Saharan Africa,
gdd,ZMB,grain,dry,Sub-Saharan Africa,
gdd,ZMB,whole_grains,dry,Sub-Saharan Africa,
gdd,ZMB,legumes,dry,Sub-Saharan Africa,
gdd,ZWE,grain,dry,Sub-Saharan Africa,
gdd,ZWE,whole_grains,dry,Sub-Saharan Africa,
gdd,ZWE,legumes,dry,Sub-Saharan Africa,
gdd,MOZ,grain,dry,Sub-Saharan Africa,
gdd,MOZ,whole_grains,dry,Sub-Saharan Africa,
gdd,MOZ,legumes,dry,Sub-Saharan Africa,
gdd,RWA,grain,dry,Sub-Saharan Africa,
gdd,RWA,whole_grains,dry,Sub-Saharan Africa,
gdd,RWA,legumes,dry,Sub-Saharan Africa,
gdd,BDI,grain,dry,Sub-Saharan Africa,
gdd,BDI,whole_grains,dry,Sub-Saharan Africa,
gdd,BDI,legumes,dry,Sub-Saharan Africa,
gdd,MDG,grain,dry,Sub-Saharan Africa,
gdd,MDG,whole_grains,dry,Sub-Saharan Africa,
gdd,MDG,legumes,dry,Sub-Saharan Africa,
gdd,CMR,grain,dry,Sub-Saharan Africa,
gdd,CMR,whole_grains,dry,Sub-Saharan Africa,
gdd,CMR,legumes,dry,Sub-Saharan Africa,
gdd,BFA,grain,dry,Sub-Saharan Africa,
gdd,BFA,whole_grains,dry,Sub-Saharan Africa,
gdd,BFA,legumes,dry,Sub-Saharan Africa,
gdd,MLI,grain,dry,Sub-Saharan Africa,
gdd,MLI,whole_grains,dry,Sub-Saharan Africa,
gdd,MLI,legumes,dry,Sub-Saharan Africa,
gdd,NER,grain,dry,Sub-Saharan Africa,
gdd,NER,whole_grains,dry,Sub-Saharan Africa,
gdd,NER,legumes,dry,Sub-Saharan Africa,
gdd,TCD,grain,dry,Sub-Saharan Africa,
gdd,TCD,whole_grains,dry,Sub-Saharan Africa,
gdd,TCD,legumes,dry,Sub-Saharan Africa,
gdd,SEN,grain,dry,Sub-Saharan Africa,
gdd,SEN,whole_grains,dry,Sub-Saharan Africa,
gdd,SEN,legumes,dry,Sub-Saharan Africa,
gdd,BEN,grain,dry,Sub-Saharan Africa,
gdd,BEN,whole_grains,dry,Sub-Saharan Africa,
gdd,BEN,legumes,dry,Sub-Saharan Africa,
gdd,TGO,grain,dry,Sub-Saharan Africa,
gdd,TGO,whole_grains,dry,Sub-Saharan Africa,
gdd,TGO,legumes,dry,Sub-Saharan Africa,
gdd,CIV,grain,dry,Sub-Saharan Africa,
gdd,CIV,whole_grains,dry,Sub-Saharan Africa,
gdd,CIV,legumes,dry,Sub-Saharan Africa,
gdd,LBR,grain,dry,Sub-Saharan Africa,
gdd,LBR,whole_grains,dry,Sub-Saharan Africa,
gdd,LBR,legumes,dry,Sub-Saharan Africa,
gdd,SLE,grain,dry,Sub-Saharan Africa,
gdd,SLE,whole_grains,dry,Sub-Saharan Africa,
gdd,SLE,legumes,dry,Sub-Saharan Africa,
gdd,LSO,grain,dry,Sub-Saharan Africa,
gdd,LSO,whole_grains,dry,Sub-Saharan Africa,
gdd,LSO,legumes,dry,Sub-Saharan Africa,
gdd,SOM,grain,dry,Sub-Saharan Africa,
gdd,SOM,whole_grains,dry,Sub-Saharan Africa,
gdd,SOM,legumes,dry,Sub-Saharan Africa,
gdd,SSD,grain,dry,Sub-Saharan Africa,
gdd,SSD,whole_grains,dry,Sub-Saharan Africa,
gdd,SSD,legumes,dry,Sub-Saharan Africa,
gdd,ERI,grain,dry,Sub-Saharan Africa,
gdd,ERI,whole_grains,dry,Sub-Saharan Africa,
gdd,ERI,legumes,dry,Sub-Saharan Africa,
gdd,GMB,grain,dry,Sub-Saharan Africa,
gdd,GMB,whole_grains,dry,Sub-Saharan Africa,
gdd,GMB,legumes,dry,Sub-Saharan Africa,
gdd,CAF,grain,dry,Sub-Saharan Africa,
gdd,CAF,whole_grains,dry,Sub-Saharan Africa,
gdd,CAF,legumes,dry,Sub-Saharan Africa,
gdd,COG,grain,dry,Sub-Saharan Africa,
gdd,COG,whole_grains,dry,Sub-Saharan Africa,
gdd,COG,legumes,dry,Sub-Saharan Africa,
gdd,GAB,grain,dry,Sub-Saharan Africa,
